ALIAS,RESUELVE_A,EXISTS
@app,src/app,YES
@application,src/application,YES
@application/services,src/application/services,YES
@application/usecases,src/application/usecases,NO
@assets,src/assets,YES
@config,src/config,YES
@domain,src/domain,YES
@domain/entities,src/domain/entities,YES
@domain/repositories,src/domain/repositories,YES
@infrastructure,src/infrastructure,YES
@infrastructure/api,src/infrastructure/api,NO
@infrastructure/repositories,src/infrastructure/repositories,YES
@presentation,src/presentation,YES
@presentation/components,src/presentation/components,YES
@presentation/contexts,src/presentation/contexts,YES
@presentation/hooks,src/presentation/hooks,YES
@presentation/pages,src/presentation/pages,YES
@presentation/styles,src/presentation/styles,NO
@shared,src/shared,YES
